	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae|t__Clostridium_bolteae_unclassified	0.00767	0	0.02655	0	0.04615	0	0	0	0	0	0	0	0	0.06087	0	0.00012	0	0.02175	0.01593	0.00951	0.00449	0.00388	0.01726	0	0.06292	0.63558	0	0	0.11297	0	0.01731	0	0	0	0	0	0	0	0.22655	0	0	1.83451	0.02441	0	0.00507	0.14271	0.1533	0.01195	0	0	0	0	0	0.0133	0	0.0041	0.01228	0	0	0	0.01074	0	0	0.02425	0.00073	0.00481	0	0.04835	0	0.04469	0.00574	0	0.04949	0	0.00081	0.00999	0.09426	0	0.00658	0	0	0	0	0	0	0	0	0.00369	0	0	0.00207	0.05441	0	0.01045	0.17176	0	0	0.00035	0.01197	0.01683	0.00224	0	0.08888	0.00144	0	0	0	0.0266	0.00038	0	0	0	0	0.01719	0.00022	0.00208	0.01217	0.00113	0	0.05425	0	0	0.06509	0	0	0.00151	0.02001	0	0	0.03438	0.0289	0.00236	0	11.33306	0	0.01633	0.4302	0	0	0.18189	0.00642	0	0.26961	0	0.00424	0.04204	0	0	0.0253	0.00745	0	0	0	0	0.12736	0	0	0	0	0.01857	0.19275	0	0.04002	0.00626	0.09239	0.02434	0	0.0111	0.00798	0.13126	0.44018	0.05231	0.04825	0	0.00184	0.00498	0.00174	0.00984	0	0.04944	0	0.00238	0.03042	0.03832	0.00576	0.00066	0	0.00128	0.00048	0	0.0154	0.02023	0.01343	0.08595	0.00273	0.02084	0.02272	0	0.00908
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA|t__GCF_000218445	0.0072	0	0.17766	0.19181	0.28674	0.67192	0.05591	1.61477	0.27502	0	0.2216	0	0.67437	0.02856	0.00489	24.76463	0	0.05799	0.25649	0.00727	0	0	1.10896	1.69195	0.08432	0	0	0.0397	0	0	0.1193	0	0	0.20838	0.04453	0.19538	0.05963	0.76702	0	0.14659	0	0	0	0	0.42168	0	0	2.61301	0.49042	0.04243	0.04131	0.02977	0	4.74921	7.03219	0.04132	0.82122	0	0.03863	0	0.22852	7.04354	0.00473	0.57789	0	2.78537	0.23089	1.46335	0	0	0	0.49867	0	0	0	0	0	0.03963	0.06308	0.07022	0.00356	0	0	0.42351	0	0.03487	0.00241	0.08992	0	0.13808	0.50238	0.87498	0.14531	0.15582	0.555	0.37418	0.26647	8.40051	0.0332	0.07153	0.37765	0.21832	0.01604	0.67228	1.09012	0.01599	0	0	0.79431	0.02203	2.22302	0.0148	1.16294	0.04988	0.62084	0.06091	0.29567	0	2.38487	0	0	1.37531	1.59462	1.68912	1.3195	14.80321	0.14169	0	18.21367	0.13234	0.49764	0	0	0	0	0	0	3.79098	0	0.17017	0.17972	0	0.42409	0.2102	0	0.04693	0	0.044	0.00976	0.14891	0	1.50141	0	0.20396	0	0.03325	0.1395	0.20914	0.16511	0.09819	0	0.09754	0.09497	0.22284	0.2927	0.02777	0.06924	0.00481	0	0	0	0.18226	0	0	0.02751	0	0.45419	0.51974	0.04641	0.07418	0.8474	0.05955	0.19864	0	0.12525	0.20472	0	7.55918	0.02849	0.28749	0.07537	0.20706	0.15649	0	1.82479	0	0.03497	0	0.11111
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0.00697	0	0	0	0.2472	0	0	0	0	0	0	0	0	8.02038	0.00699	0	0	0	0.13233	0.00199	0	0	0	0	0	0	0	0.10863	0	0.84558	0	0	2.11327	0	0	0.09316	0	0	0	0	0	0	0	0.02442	0	0	0	0	0.04734	0	0	0	0	0.01389	0	0	0	0	0.00456	0	0	0	0	0	0	0.15283	0	0	0	0	0	0	0.08231	0	0	0	0	0	0	0	0	0	0	0	0	0.75234	0	0	0.34559	0	0	0	0.03921	0	0	0	0	1.33641	0	0.00564	0	0.70226	9.24262	0	0.02248	0.01498	0	0	0	0	0.01122	0	0	0	0	0	0	0	0	0	0	0.04111	0	0	0	1.88269	0	0	0	0	0	0	0	0.00641	0.042	0	0	0	0	0	0	0	0.06082	0	0	0	0	0.00265	0.10248	0	0.38207	0	0	0	0	0	0	0	0	0	0	0.00569	0.32896	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0.14462	0	0	0	0	0	0	0	0	0.00095	0	0.05305	0.01859	0.06496	0	0	0.58202	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_acidilactici|t__Pediococcus_acidilactici_unclassified	0.00638	0	0	0	0	0.00835	0	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00811	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00376	0	0.00087	0	0	0	0	0	0	0	0	0	0.03809	0	0	0	0	0	0	0	0	0	0	0	0	0.15082	0	0	0	0.00386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis|t__Streptococcus_sanguinis_unclassified	0.00608	0	0.00855	0	0.09044	0.13158	0.04072	0.03588	0.00774	0.0048	0.0253	0.00533	0	0.03174	0	0.00512	0	0.00322	0.00208	0.03887	0.00697	0	0	0.03131	0	0.02609	0.01426	0.00377	0.04401	0.02165	0.21184	0	0	0.00278	0	0.0156	0	0.0045	0.00015	0	0.0022	0	0	0	0.00791	0	0	0.05265	0	4e-04	0.01777	0.35079	0	0.00128	0.02639	0.05309	0.50601	0	0.00071	0	0.00106	0.00536	0.00043	0	0.01901	0	0.01798	0.02581	0.02779	0	0	0.04107	0	0	0.01316	0.00283	0.01658	0.00626	0	0.06109	0.001	0.10953	0.00167	0.00667	0	0.00728	0.00596	0.00126	0.04004	0.01953	0	0	0.08472	0	0.02726	0	0	0.00429	0	0	1e-04	0.01593	0.08474	7e-04	0.01056	0.02676	0	0	0.00728	0.00414	0.00527	0	0.00835	0.01925	0.00116	0.0039	0.00434	0.00188	0.00082	0	0.01282	0.00678	0.00497	0.00208	0.00615	0.00044	0.0251	0	0	0.00707	0	0.00626	0	0	0.04239	0	0	0.01772	0	0.01565	0.02245	0	0	0.00765	0	0	0	0	0	0.00359	0.03635	0	0	0.00964	0	0	0.00613	0	0	0.00135	0	0	0.05789	0.00422	0.00308	0.00926	0	0	0	0.00626	0.00103	0.00481	0	0	0	0.00051	0	0.00205	0.05672	0	0	0	0	0.00627	0	0.00119	0	0.00885	0	0.06865	0.01134	0	0.00477	0.17819	0.00265	0.00156	0.00217	0.00077	0.00144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus|t__GCF_000169255	0.00602	0	0.01465	0	0.00089	0.00184	0	0	0.02541	0	0.00346	0.00231	0.00739	0.00083	0	0	0.0106	0.00101	0.04312	0.00264	0	0	0.02666	0	0.06024	0	0	7e-04	0	0.00281	0.05813	0.00683	0.00138	0.00231	0.00975	0.08649	0.01666	0.00022	0	0	0.00446	0	0.02053	0.00305	0.00116	0.12779	0	0	0.00167	0.00099	0.00382	0.00598	0	0.00068	0.00155	0.00028	0.00165	0.00195	0.01991	0.03613	0	0.0169	0.00954	0.01352	0	0.00414	0.00101	0.00051	0	0.01306	0	0.00183	0.03331	0	0.02399	0.01976	0.03012	0.00297	0	0	0	0.01386	0	0.03375	0.00039	6e-04	0	0.00472	0.0078	0	0.00616	0	0.00021	0.00093	0	0	0	0.00029	0.0052	0	0.00614	0.01353	0	0.0041	0	0.03258	0	0	0.00201	0.00276	0.00035	0	0	0.01953	0.00407	0.02009	0.00234	0.00039	0.00223	0.00837	0.00139	0.0203	0.02721	0.00104	0.00105	0.00499	0.00068	0.0024	0	0.0054	0.03061	0.00352	0	0	0.01145	0.01339	0.00439	0.001	0	0	0.00114	0	0.02465	0.01078	0.00425	0.00109	0	0.01127	0	0.00096	0	0.00159	0	0	0	0.01358	0.0032	0.03423	0.03876	0.01487	0.00872	0	0.02595	0.00729	0.02822	0.01677	0	0	0	0.02167	0	0.00906	0	0.00366	0.03221	0.00504	0.00082	0.01232	0.00589	0.04146	0.04061	0.00152	0.01353	0	0.00035	0.01635	0	0.00941	0.00456	0.01997	0.08253	0.02763	0.02146	0	0	0.10071	0.00107	0.0406	9e-04
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	0.00574	0.00048	0.08928	0.09883	0.12017	0.00629	0.04019	0.45007	0.08769	0.00104	0.07994	0	0	0.32162	1.22901	0.09999	0	0.00708	0	0.00696	0	0	0.0027	0	1.72076	0.16613	0.1038	0	0.00129	0	0.01353	0.26782	0.01226	0.01068	0	0	0	0	0.06252	0.00818	0.01092	0	0	0.20039	0	0	0	0	0.01997	0.01281	0.73984	0	0.03643	0.00363	0.04748	0.81486	0.00113	0.01185	0.03941	0.00285	1.07439	0	0	0.04553	0.04967	0.01727	0	0	0.10325	0	0	0.2828	0	0.04065	0	0.00238	0	0.03433	0.00655	2.33091	0.04356	0.07692	0	0	0.03278	0.14248	0.0152	0.021	0.02353	0.01069	0	0	0.16807	0.02999	0.00109	0.00837	0.03244	0	2.70428	0.00057	0.14296	0	0.01189	0.01831	0.03736	0.14312	0.00063	0.11199	0.01707	0	0.0792	0	0.00449	0.02481	0	0	0	0.00583	0	0.10919	0	0.04473	0	0.02547	0	0.04746	0	0.03644	0	0	0.07076	0.00348	0	0.03742	0.4056	0	0.00632	0.65807	0	0	0.01168	0.15827	0.00266	0.00031	0.07884	0.12342	0	0.05334	0	0.19735	0	0	0.01045	0.11673	0	0	0	0	0	0	0	0.48648	0.08959	6e-04	0	0	0	0.04502	0	0	0	0	0	0	0.01728	0.04784	0.0414	0.01588	0	0.01407	0	0	0	0.25028	0.00054	0	0.0431	0.00111	0.07963	0	0.01381	0	0.01639	0.49035	0.00648	0.00073	0.05249	0.00321	0.01065
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified	0.00529	0.06796	0.02751	0.07551	0.00173	0.00142	0	0.01128	0	0.00614	0.05237	0.00925	0.00886	0.03456	0.05754	0.0351	0	0.02847	0	0.00089	0.00138	0	0	0.00112	0.63515	1.56098	0.0387	0.00247	0.01001	0	0.10789	0.03841	0.00577	0.00544	0.00202	0	0.00879	0.00176	0.00096	0.00029	0.00024	0	0.00055	0.0126	0	0	0	0	0	0.00134	0.03828	0	0.04048	0.00289	0.02306	0.0698	0.01484	0	0.02024	0.01632	0.05068	0.00077	0.0197	0.00764	0.12707	0.02566	0	0	0.01023	0	0	0.09178	0	0.00459	0.00827	0.00936	0.00551	0.00209	0.09364	0.16829	0.16002	7.93584	0	0	0.00121	0.00956	0.08484	0	0.11547	0.00155	0.00287	0	0.03633	0.00182	0.06425	0	0.00182	0.0076	0.01746	0.00341	0.0052	0	0	0.00372	0	0.01891	0.04822	0.00442	0.00595	0	0.00204	4.60755	0.00194	0.00542	0	0.05838	0	0.00075	0.00622	0.04607	0.00089	0.00312	0	0.00256	0	0.00022	0	0.00233	0	0.00042	0.00385	0.00911	0	1.04931	0.01205	0	0	0.02753	0	0.06443	0.01189	0.05842	0.00951	0.00141	0.01516	0.02638	0	0	0.02193	0.01724	0	0	0	0.01895	0.01494	0	0	0.00498	0	0	0	0.01973	0.16509	0.00238	0	0	0.01392	0.02199	0.04882	0	4.34201	0	0.00354	0	0.05801	0	0.0097	0.02501	0	0.00161	0	0	0	0.99805	0.43887	0.04695	0.00896	0	0.00161	0	0.00017	0.02582	0.00189	0.12016	0.013	0	0.02964	0.0173	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055	0.00527	0	0.065	0	0.00027	0	0.00706	0.00411	0	0	0.01911	0.0506	0	0.00089	0	0.04621	0	0	0.03009	1e-04	0	0	0.01568	0.02393	0	0	0	0.33258	0.00029	0.19126	0.00025	0	0.01692	0.00275	0	0.32539	0.00062	0.00947	0	0.05854	0.20976	0.15484	0	0	0	0	0.02178	0.03447	0	0	0.15608	0	0	0.0304	0.09238	0.00764	0.11448	0.00129	0.00649	0.0057	0	0.01167	0.00755	0.00159	0.02625	0	0	0.01673	0.09316	0.00048	0	0	0.00104	0	0.02099	0	0.0282	0	0	0.05843	0	0.00069	0.04522	0.03078	0.01294	0.00344	0.00164	0	0.00457	0.00642	0.01449	0.04246	0.00167	0.00496	0	0	0.02231	0.03623	0.00323	0	0	0.19682	0	0.00151	0	0.02762	0.01114	0	0.0409	0	0	0	0	0	0	0.00591	0	0	0.01963	0.0013	0	0.00938	0	0.00421	0.04686	0.01112	0.0901	0	0.00396	0	0	0.00591	0.03039	0	0	0.00339	0	0.06883	0.02914	0.01328	0.04355	0	0.09725	0.01177	0	0	0	0	0	0.12203	0.03339	0	0	0	0	0.00112	0.00918	0.06964	0.03332	0	0	0	0	0	0.15657	0.05221	0	0.03008	0	0	0.02907	0	0.0045	0	0	0.00142	0.00411	0	0.00912	0.02932	0.01205	0.11448	0.02223	0.00626	0	0.01508	0	0.01267	0.00333	0.00546	0.0735	0.00046	0.00455	0	0	0.02251	0.01166	0.02818	0.04067
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens|t__GCF_000154505	0.00519	0	0	0	0.00066	0	0	0	0	0	0.00166	0	0	0.00083	0	0.00018	0.00612	0	0.00144	0.00019	0	0	0	0.00075	0	0	0	0.00413	0	0	0.00049	0	0.00098	0	0.00067	0.00449	5e-04	0.00047	0	0	0.01054	0	0.00415	0	0	0	0	0.00295	0	0.00021	0.00245	0	0.00136	0	0	0.00046	0.00683	0.00271	0	0.00209	0	2e-04	0.02269	0	0	0	0	0.00678	0	0	0.00107	0.00038	0	0	3e-04	0	0.02343	0.00628	0	0	0	0.01069	0	0.00233	0	0	0	0	0.04065	0	0	0	0	0.00091	0	0	0	0.02173	0	0	0	0.00283	0	0.00049	0.00189	0.00308	0	0	0.00112	0	0	0	0	0.00325	1e-04	0	0	0	0	0.00049	0.01189	0.00197	0.005	6e-05	0	0.00103	0	0.00056	0	0	0	0	0	3e-04	0.0013	0	0	0	0	0.11527	0.00023	0	0.05892	0	0.00164	0	0.0084	0	0	0	0	0.00108	0	0	0	0	0	0.00284	0.00013	0	0.00029	0	0	0	0.00519	0.00535	0	0	0	0	0.00371	0.00045	0	0.00033	0	0.00024	0	0.00135	0.01314	0.00168	0.00595	0	0.00058	0	0.00369	0.002	0	0.00093	0	0.00473	0.00401	0	0	0	0	0.00085	0	0	0.00076
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus|t__Streptococcus_anginosus_unclassified	0.00507	0	0.00884	0.07071	0.03051	0.07812	0.00053	0.00079	0.3315	0	0.2036	0.00629	0	0.01187	0	0	0	0.00086	0.00661	0.05524	0	0	0.04301	0.01096	0.09778	0	0	0	0.65309	0.01044	0.63593	0	0	0.00029	0.03427	0	0.00044	0.00586	0.04206	0	0	0	0	0	0.00683	0	0	0.00768	0	0	0	0.00061	0.11772	0.03339	0	0.23857	0.00742	0	0	0.18045	0.03353	0	0.00433	0	0.00601	0.02553	0.00512	0.00047	0.00161	0.00156	0	0.05728	1.71895	0	0	0	0.00394	0	0	0.01887	0.03519	0	0	0.00469	0	0	0.01701	0	0.05233	0.04234	0.00647	0	0.30667	0.84165	0.00353	0	0.10035	0	0	0	0.00058	0	0.00983	0.03156	0.00605	0	0	0.77871	0.06978	0	0.0023	0	0	0.01214	0	0.25915	0	0.00082	0.00168	0	0.02098	0.0021	0	0.93968	0.02087	0.01068	0.00256	0	0	0	0	0	0.02591	0	0.02742	0	0	0.16121	0	0.08451	0.03962	0.03715	0.00781	0.00146	0	0.03079	0	0	0.00901	0	0.0136	0.06217	0	0	0.00647	0.00302	0.00611	0.00904	0.00815	0.05203	0.00113	0.02491	0.73555	0	0.0139	0.00227	0	0	0.12729	0	0.00764	0.00495	0.03218	0	0.00919	0	0.01696	0	0	0	0	0	0	0.00052	0	0.08515	0.23459	0	0.00055	0	0.0042	0	3e-04	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica|t__GCF_000157975	0.00498	0	0	0	0.00713	0	0	0	0	0	0	6e-04	0	0	0	0.00017	0	0.00315	0.08517	0	0	0.55636	0.07674	0	0	0	0	0	0	0.00888	0.20649	0	0	0.00743	0	0	0	0.1937	0	0.0024	0	0	0	0	0.00938	0	0	0.29039	0	0	0	0	0	0.18123	0	0	0.01488	0	0	0	0	0	0.10193	0	0	0	0.02238	0	0.02279	0	0	0.01094	0	0	0.00187	0	0.15363	0	0	0	0	0	0	0	0	0	0	0	0.17937	0	0.00213	0.08196	0.00346	0.00085	0	0	0	0.04127	0	0.00121	0.00154	0.03192	0	0	0	0.01527	0	0	0.01213	0	0	0	0	0	0.00298	0	0.04363	0	0.12128	0	0	0.00948	0	0	0.0633	0	0	0	0.16056	0	0	0	0	0	0	0	0	0.02138	1.16417	0.13144	0	0	0.07495	0.00374	0	0	0	0	0	0	0.01015	0	0	0	0.00021	0	0.10027	0.06208	0.04963	0.0556	0.00026	0	0.00592	0	0	0	0	0	0	0.02416	0.01855	0	0	0	5e-04	0.00011	0	0.00417	0	0	0	0	0	0	0.04922	0	0	0	0	0	0.00202	0.01125	0.00314	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia|t__Prevotella_bivia_unclassified	0.00478	0	0	0	0	0	0	0	0	0	0	0	0	0.00711	0	0	0	0	0	0	0	3.32927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0.01008	0	0	0	0	0	0.00042	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacteriaceae_noname|s__Enterobacteriaceae_bacterium_9_2_54FAA|t__GCF_000185685	0.00462	0	0	0	0	0.02284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0	0.00782	0	0	0.00044	0	0	0	3e-04	0.03433	0	0	0	0	0	0	0	0	0	0	0.20687	0	0	0	0	0	0	0	0.01396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00993	0	0	0	0	0	0	0	0	0	0.02724	0	1.58831	0	0	0	0	0	0	0	0.00269	0	0.11684	0	0	0.00165	0.02098	0	0	0	0	0	0	0	0	0	0	0	0.00053	0	0	0	0	0	0	0	0	0	0	0.14416	0	0	0.0274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00582	0	0	0.04987	0	0	0.06782	0	0	0	0	0.0481	0	0	0	0	0.00791	0	0	0	0	0.00672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
