non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	0	0	0	0.02215	0.36555	0.96057	0.00615	0.02197	0.01647	0.10964	0.09925	0	0.15	0	0.41225	0.32101	0.01153	0.18713	0.08404	0.00228	0	0	0.00108	0.24159	0.01904	0.41291	0.04017	0	0.27308	0.05251	0.01521	0	0	0	0.05852	0	0	0	0.42615	0.16415	0.00858	0	0	0.34511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06815	0	0.00236	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0	0	0	0.00745	0	0.0655	0	0	0	0.01632	0	0	0.01661	0	0	0	0.00471	0	0	0.00165	0.0092	0	0.06724	0	0	0.0026	0	0	0.01275	0	0	0	0	0	0.11472	0	0	0	0.21739	0.02531	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_cinaedi|t__Helicobacter_cinaedi_unclassified	0	0	0	4.53849	0	0	0	0	0	0	0	0	0	0	2.38028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67513	0	0	0	0	0	0	0	0	0.84801	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000162015	0	0	0	4.0341	0.80847	1.44966	0	0	2.02257	0	0	0.60606	3.85947	1.00361	2.45528	0	1.85628	0	0	0	2.74218	1.03485	0	0	1.50175	0	1.91149	2.08678	0	2.48765	0	0	0	0	1.15638	0	0	1.04915	4.39874	0	0	0	4.94095	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens|t__GCF_000195275	0	0	0	3.99687	3.67379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86872	0	0	0	0	0	0	0	0	0	0	0	11.39885	15.96792	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa|t__GCF_000239955	0	0	0	0.2399	0.03104	0.55579	0	0.00941	0	0.05923	0	0	0.07685	0	0.00407	0	0.02529	0.0033	0.03107	0.19841	0.21233	0	0.04447	0.1052	0.07419	0.05251	0.00589	0.05006	0.20475	0	0.00856	0	0	0	0.12191	0	0.06207	0.00258	1.54723	0.03245	0	0.01485	0	0.00405
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae|t__Lactococcus_garvieae_unclassified	0	0	0	0.06945	0.00033	0	0	0	0	0	0	0	0	0	0.0169	0	0	0	0	0	0.00975	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.14808	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia|t__GCF_000185705	0	0	0	0.03875	0	0	0.01624	2e-04	0	0	0	0.00378	0	0	0.00369	0	0	0	0	0	0	0.00412	0	0	0.02129	0	0.00364	0.01297	0.01308	0.00109	0.00374	0	0.04921	0	0	0	0	0.00417	0.0014	0	0	0	0	0.01014
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__Enterobacter_cloacae_unclassified	0	0	0	0.02215	0.36555	0.96057	0.00615	0.02197	0.01647	0.10964	0.09925	0	0.15	0	0.41225	0.32101	0.01153	0.18713	0.08404	0.00228	0	0	0.00108	0.24159	0.01904	0.41291	0.04017	0	0.27308	0.05251	0.01521	0	0	0	0.05852	0	0	0	0.42615	0.16415	0.00858	0	0	0.34511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis|t__GCF_000296505	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06815	0	0.00236	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria|t__GCF_000193635	0	0	0	0.00745	0	0.0655	0	0	0	0.01632	0	0	0.01661	0	0	0	0.00471	0	0	0.00165	0.0092	0	0.06724	0	0	0.0026	0	0	0.01275	0	0	0	0	0	0.11472	0	0	0	0.21739	0.02531	0	0	0	0
k__Archaea	0	0	0	0	0.06886	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0.06886	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0.06886	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0	0	0	0	1.50902	0.23099	0.30043	0	0	0	0.03998	0	0	0	0.16154	8.73852	0	0	0.00774	0.07525	0.02491	0	0	0.27342	0	0	0	0.02926	0.05259	0.18784	0	0	0	0	0	0	0	0	0	0	0	0	0	33.68718
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0.06886	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0	0	0	0	1.50902	0	0.23244	0	0	0	0.03998	0	0	0	0	8.34753	0	0	0.00774	0.02122	0.02491	0	0	0.27342	0	0	0	0.0159	0.05259	0.18784	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37447
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0.06886	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0.04328	0.05984	2.98626	0	0	0.01655	0	0.05848	0	0	0	0.00739	0	0.00451	0.01755	0.00726	0.52118	0	0	0.07277	0.00921	0.00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06438
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	0	0	0	0	1.50902	0	0.23244	0	0	0	0	0	0	0	0	8.34753	0	0	0	0	0	0	0	0.27342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37447
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0.06828	0.06125	0	0.0572	0	0	0	0.94391	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28451	0	0	0	0	0	0	1.22058	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0.04328	0.05984	2.98626	0	0	0.01655	0	0.05848	0	0	0	0.00739	0	0.00451	0.01755	0.00726	0.52118	0	0	0.07277	0.00921	0.00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06438
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	0	0	0.04025	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0.02219	0.02652	0	0	0	0	0.00606	0	0	0	0.04776	0	0	0	0	0	0.03304	0	0.04992	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	0	0	0.01594	0.00873	0	0.00915	0.09302	0.00577	0.06375	0.04783	0.03621	0.03627	0.05062	0	0	0	0	0.08308	0	0	0	0	0	0	0.03294	0.03179	0.06114	0.11561	0.04433	0	0	0	0	0.12038	0	0	0	0.00842	0.00856	0	0.05739	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus|s__Klebsiella_phage_KP36	0	0	0	0	1.50902	0	0.23244	0	0	0	0	0	0	0	0	8.34753	0	0	0	0	0	0	0	0.27342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius	0	0	0	0	1.49432	5.6987	0	0	0	0.51063	0	0	1.2489	0	0.11809	0	0	0	0.51848	0	0.0276	0	0	0.08065	0.08882	0.03123	0	0	2.55915	0	0.06947	0	0	0	0.00209	0	1.7289	0.63713	2.45515	0.02439	0.00295	0.22195	0	0.00213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50	0	0	0	0	1.07051	0	0	0	0	0	0.21297	1.03472	0	0	9.26334	0	0	0	1.34779	0.48977	0	0	0	0	0	0	0	0	11.4339	0	0	0	0	0	0	0	0	0	0	0	0.52028	0	1.08334	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_fennelliae	0	0	0	0	0.52023	0	0.10749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis	0	0	0	0	0.07403	0.17384	0	1.63102	0.81261	0.57462	7.5884	18.83475	0	12.7799	0	0	0	0.05453	0	0	0	0	0	0	0	0	0.09404	0	0	0	0	0	0	0	0	0.02504	0	0	0	0	0.02328	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0	0	0	0	0.05055	0.02509	0	0	0	0	0	0	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54171	0	0	0	0	0	0	1.15825	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0	0	0	0	0.04328	0.02397	2.98626	0	0	0.01655	0	0.05848	0	0	0	0.00363	0	0	0	0	0	0	0	0.03381	0	0.00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_lactis	0	0	0	0	0.04025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02134	0.02652	0	0	0	0	0.00606	0	0	0	0.04438	0	0	0	0	0	0.01843	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0	0	0	0	0.02281	0.00101	0	0.05747	0	0.17216	0	0	0	0.0181	0	0.00072	0.02117	0	0	0	0.20388	0.13619	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0.0675	0	0	0.01179	0.02443	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0.01773	0.03616	0	0.0572	0	0	0	0.94391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7428	0	0	0	0	0	0	0.06233	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0	0	0	0	0.01594	0.00873	0	0	0.09302	0	0.05187	0	0.02513	0.03627	0.03654	0	0	0	0	0.08308	0	0	0	0	0	0	0.02558	0	0.05251	0.10602	0.04433	0	0	0	0	0.12038	0	0	0	0.00842	0.00856	0	0.04492	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis	0	0	0	0	0.01521	0	0	0	0	0	0	0	0	0	0	0	0.06956	0	0.01434	0	0.03788	0	0	0	0	0	0	0	0.01835	0	0	0	0	0	0.00872	0.19631	0.13521	0	0.00068	0	0.00353	0	0	0.00413
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus	0	0	0	0	0.0041	0.00099	0	0	0	0	0	0	0	0	0	0	0	0	0.03607	0	0	0	0	0	0	0	0	0	0.00947	0	0	0	0	0	0.00059	0	0	0	0.14859	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	0	0	0	0	0.00405	0	0	0	0	0	0.00048	0	0	0	0	0	0	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus|s__Klebsiella_phage_KP36|t__PRJNA183428	0	0	0	0	1.50902	0	0.23244	0	0	0	0	0	0	0	0	8.34753	0	0	0	0	0	0	0	0.27342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37447
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__Streptococcus_infantarius_unclassified	0	0	0	0	1.49432	5.6987	0	0	0	0.51063	0	0	1.2489	0	0.11809	0	0	0	0.51848	0	0.0276	0	0	0.08065	0.08882	0.03123	0	0	2.55915	0	0.06947	0	0	0	0.00209	0	1.7289	0.63713	2.45515	0.02439	0.00295	0.22195	0	0.00213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50|t__GCF_000154245	0	0	0	0	1.07051	0	0	0	0	0	0.21297	1.03472	0	0	9.26334	0	0	0	1.34779	0.48977	0	0	0	0	0	0	0	0	11.4339	0	0	0	0	0	0	0	0	0	0	0	0.52028	0	1.08334	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter_fennelliae|t__GCF_000509365	0	0	0	0	0.52023	0	0.10749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis|t__GCF_000210095	0	0	0	0	0.07403	0.17384	0	1.63102	0.81261	0.57462	7.5884	18.83475	0	12.7799	0	0	0	0.05453	0	0	0	0	0	0	0	0	0.09404	0	0	0	0	0	0	0	0	0.02504	0	0	0	0	0.02328	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0	0	0	0	0.05055	0.02509	0	0	0	0	0	0	0.12035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54171	0	0	0	0	0	0	1.15825	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__Enterococcus_faecium_unclassified	0	0	0	0	0.04328	0.02397	2.98626	0	0	0.01655	0	0.05848	0	0	0	0.00363	0	0	0	0	0	0	0	0.03381	0	0.00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__Leuconostoc_lactis_unclassified	0	0	0	0	0.04025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02134	0.02652	0	0	0	0	0.00606	0	0	0	0.04438	0	0	0	0	0	0.01843	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__Clostridium_perfringens_unclassified	0	0	0	0	0.02281	0.00101	0	0.05747	0	0.17216	0	0	0	0.0181	0	0.00072	0.02117	0	0	0	0.20388	0.13619	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0.0675	0	0	0.01179	0.02443	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__GCF_000156375	0	0	0	0	0.01594	0.00873	0	0	0.09302	0	0.05187	0	0.02513	0.03627	0.03654	0	0	0	0	0.08308	0	0	0	0	0	0	0.02558	0	0.05251	0.10602	0.04433	0	0	0	0	0.12038	0	0	0	0.00842	0.00856	0	0.04492	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis|t__GCF_000441535	0	0	0	0	0.01521	0	0	0	0	0	0	0	0	0	0	0	0.06956	0	0.01434	0	0.03788	0	0	0	0	0	0	0	0.01835	0	0	0	0	0	0.00872	0.19631	0.13521	0	0.00068	0	0.00353	0	0	0.00413
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus|t__GCF_000283635	0	0	0	0	0.0041	0.00099	0	0	0	0	0	0	0	0	0	0	0	0	0.03607	0	0	0	0	0	0	0	0	0	0.00947	0	0	0	0	0	0.00059	0	0	0	0.14859	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0.00498	0.01759	0	0	0	0	0.03513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04409	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0.00231	0	0	0	0.00046	0	0	0	0	0.02063	0.00055	0.15725	0	0	0	0	0	0.00429	0.00075	0	0.00129	0	0	0	0	0	0.01818	0	0.00442	0.04121	0	0	0	0.00168	0.02436	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	0	0	0	0	0	0.23099	0.068	0	0	0	0	0	0	0	0.16154	0.39099	0	0	0	0	0	0	0	0	0	0	0	0.01336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.66746
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0	0	0	0	0	0.00498	0.01221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04409	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0	0.00231	0	0	0	0.00046	0	0	0	0	0.02063	0.00055	0.15725	0	0	0	0	0	0.00429	0.00075	0	0.00129	0	0	0	0	0	0.01818	0	0.00442	0.04121	0	0	0	0	0.02436	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname	0	0	0	0	0	0.23099	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.66746
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0	0	0	0	0	0.00498	0.01221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04409	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0	0	0	0	0	0.00231	0	0	0	0.00046	0	0	0	0	0.02063	0.00055	0.15725	0	0	0	0	0	0.00429	0.00075	0	0.00129	0	0	0	0	0	0.01818	0	0.00442	0.04121	0	0	0	0	0.02436	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Enterobacteria_phage_phiP27	0	0	0	0	0	0.23099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0	0	0	0	0	0.08213	0	0.04328	0	0.08208	0.04387	0.09948	0.07322	0	0	0.15105	0.01756	0.0884	0.09554	0.20667	0.07267	0	0.0474	0.02557	0	0	0.05128	0	0.12483	0.09567	0.01284	0	0.04955	0	0	0.08052	0	0	0.03566	0.24647	0.17719	0.14513	0.02692	0.00778
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bifermentans	0	0	0	0	0	0.04252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_paraphrohaemolyticus	0	0	0	0	0	0.03924	0	0	0	0.00943	0	0	0	0	0	0	0.0752	0	0	0	0	0.00204	0	0	0	0.00236	0	0	0	0	0	0.1612	0	0.09403	0.11326	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0	0	0	0	0	0.03588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified	0	0	0	0	0	0.02378	0	0	0.12194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01351	0	0	0	0	0	0.03363	0.08938	0	0	0	0	0	0	0	0	0	0.01226	0.0385	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus	0	0	0	0	0	0.01267	0	0	0	0.00276	0	0	0	0	0	0	0.0374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01335	0.04327	0	0.02746	0.04007	0.00753	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii	0	0	0	0	0	0.00498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_unclassified	0	0	0	0	0	0.00231	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0.00429	0	0	0.00129	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0	0	0	0	0
