	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.07447	0.21008	88.25082	0.08063	0.08904	0.30458	0.08531	0.15539	0.15821	0	0	0.12672	0	0.19356	0.02297	0.14307	0	0	0	0.00161	0	0	3.30585	0	5.91814	0.02397	0.25557	0	0	0	0	0	0	0.06679	0	0.16536	0.02181	0.10229	0	0	0	0	0	0	0	0.07403	0	0	0.04552	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.05489	0.56911	0.03169	0.19716	0.15805	0.09132	0.04584	0.28597	0.02146	0.07436	0.04171	0.40389	0.03481	0.30675	0.00961	0.06693	0.2681	0.0071	0.13453	0.07933	0.02196	0.06841	0.11624	0.44427	3.21732	0.09696	0.2034	0.96426	0.0802	0.18013	1.10406	1.14731	0.01617	0.05324	0.04018	0.38375	0.29614	1.13567	0.00578	0.05629	0.08111	0.47084	0.17972	0.03684	0.07284	0.31864	0.20074	0.21917	0.01097	0.06846
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00423	0.16065	0.07282	0.34279	0.48645	0.51969	0.67275	1.50932	4.64911	2.09864	0.42297	0.48708	0.71331	0.36729	0.19512	2.95987	0.11438	2.39147	0.86522	1.39088	1.61019	1.83777	8.74687	1.03026	0.3051	0.36845	0.33847	0.26614	1.21434	1.44214	0.22483	0.28176	0	3.11999	0.11511	1.66916	0.82082	0.61505	0	0.36429	0.32062	0.1367	0.8817	0.15596	0.30142	0.15388	0.56865	1.86381	0.02128	1.32095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	36.54641	67.81937	4.92881	49.38957	64.52387	70.39404	49.01842	40.34411	46.01022	55.48723	54.61811	73.99806	90.76857	50.78014	7.76184	34.6259	21.89938	58.00173	58.73033	61.91624	64.28096	44.69618	59.68505	42.46522	19.40628	74.71961	2.73982	17.48143	51.41806	52.04573	69.61365	64.90943	0.1039	57.15903	24.51587	62.38659	33.30165	38.92845	0.00205	25.29416	60.48886	22.97984	64.11566	4.75203	52.3525	55.33367	15.08852	43.05706	6.65409	63.49122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	33.21976	0.00078	1.60553	1.4467	0	0.00035	0.00944	25.57744	9.54033	9.5321	2.8166	0.01069	0.00613	0.0264	1.03978	4.31223	4.05002	1.98851	8.50983	4.11772	0.06157	3.14428	3.36664	14.06598	2.47728	3.90294	0.34297	0.25654	3.83937	5.27382	1.79156	1.47081	81.39797	4.58144	0.15086	11.28582	4.31916	2.77192	97.58132	14.29102	13.31496	21.37896	1.45029	70.70659	7.61397	1.90961	10.73502	0.00545	62.15764	1.60118
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	24.42958	5.33199	0.64196	45.09482	17.52417	20.08647	42.84856	17.81111	31.53471	21.1454	35.30313	9.59821	6.99316	40.92107	85.6096	39.59892	27.08618	27.46278	23.1444	14.46319	31.7871	26.02903	19.66278	32.77689	36.68945	11.46695	2.04075	74.32557	31.90765	34.00551	22.63103	27.62494	0.03662	19.35562	55.80574	13.79699	55.95771	48.86861	0.80767	0.00092	8.37904	24.56463	15.2834	13.38497	30.66501	21.63772	60.35379	49.57469	2.88468	16.65295
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.83694	0.00668	0.65607	0.30371	12.1134	5.06052	1.27878	0.27557	0.57492	0.0086	0.16275	0.18837	0.10255	1.46109	3.17628	1.26895	0.02796	0.08424	0.30605	0.08129	0.23915	2.08176	0.16037	1.80114	3.73192	0.98212	74.77925	0.79864	4.56377	0.46818	0.00578	0.0045	0.29405	3.55134	8.05384	4.58691	2.50073	1.41609	0.20733	4.7498	4.13644	0.39895	0.11101	0.52699	0.11275	1.41928	6.59457	2.52252	0.02197	0.62747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.68861	2.46504	0.19365	0.73705	1.81807	0.66106	0.4592	3.38037	2.74754	4.60993	2.58712	4.69012	0.85503	1.2248	0.73998	2.29715	0.19668	1.48368	1.30446	0.61551	0.45505	0.57723	1.32443	2.51394	3.34732	0.22197	0.03694	0.07174	1.28441	1.67985	3.7417	3.36141	0.00085	3.73775	0.7415	0.99992	0.23105	0.48106	0.02724	0.12602	4.2916	2.7881	4.77405	3.39429	4.73341	0.5438	1.00799	0.85573	5.16334	1.53931
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.59284	13.93664	2.5345	1.65662	2.19703	1.27002	3.76014	3.77559	2.30891	2.78211	3.35262	8.12591	0.17767	1.15816	0.39811	6.59273	1.30068	4.07838	4.11404	1.39486	0.94297	2.05401	1.17398	4.34209	5.24448	6.27764	6.06136	4.04561	3.61432	3.00042	0	0	0.52532	4.76775	4.37725	3.97627	2.18391	4.8875	0.05944	2.89136	2.47163	1.4121	4.6925	5.83812	3.55193	18.31412	1.76097	1.23415	8.20006	4.82545
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.33892	0.05892	0.01797	0.26186	0.03098	0.06392	0.03081	0.20405	0.03225	0.41913	0.09687	0.21263	0.1013	0.10386	0.07601	0.25342	0.06739	0.04216	0.12264	0	0.03636	0.41329	0.082	0.03537	0.07838	0.01632	2.05398	0.06724	0.31391	0.20497	0.03892	0.06199	0.21037	0.12885	0.00724	0.02513	0.14337	0.03223	0.0407	0.30194	0.1486	0.01748	0.00112	0.07754	0.19371	0.04354	0.13538	0.09327	0.07796	0.10884
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.21335	2.86545	0	0	0.18083	0.14912	0	0	0.16384	0.53103	0.06535	0.00686	0.00847	0.21521	0	0.41583	0.85809	0.21635	0.37386	0	0.01664	0	0.46374	0.01698	1.98703	0	0.00397	0.13131	0	0	0.0175	0.01312	0	0.1309	0.28009	0.25012	0.08992	0.00797	0	0	0	0.03267	0.00563	0	0	0.14329	0	0.07155	0.2888	0.2379
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.07447	0.21008	88.2421	0.08063	0.08904	0.30458	0.08531	0.15539	0.15821	0	0	0.12672	0	0.00349	0.02297	0.14307	0	0	0	0.00161	0	0	3.30585	0	0	0	0.03386	0	0	0	0	0	0	0.06679	0	0.00585	0.02181	0.0034	0	0	0	0	0	0	0	0	0	0	0.03136	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.05489	0.56911	0.03169	0.19716	0.15805	0.09132	0.01885	0.28597	0.02146	0.07436	0.01951	0.40389	0.03481	0.30675	0.00961	0.06693	0.2681	0.0071	0.13453	0.07933	0.019	0.06841	0.11624	0.44427	3.21732	0.09696	0.17007	0.96426	0.06114	0.18013	1.10406	1.14731	0.01617	0.05324	0.04018	0.38375	0.29614	1.13567	0.00578	0.05629	0.08111	0.47084	0.17972	0.03684	0.07284	0.31864	0.20074	0.21917	0.01097	0.06846
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00423	0.16065	0.07282	0.34279	0.48645	0.51969	0.67275	1.50932	4.64911	2.09864	0.42297	0.48708	0.71331	0.36729	0.19512	2.95987	0.11438	2.39147	0.86522	1.39088	1.61019	1.83777	8.74687	1.03026	0.3051	0.36845	0.33847	0.26614	1.21434	1.44214	0.22483	0.28176	0	3.11999	0.11511	1.66916	0.82082	0.61505	0	0.36429	0.32062	0.1367	0.8817	0.15596	0.30142	0.15388	0.56865	1.86381	0.02128	1.32095
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	33.21976	0.00078	1.60553	1.4467	0	0.00035	0.00944	25.57744	9.54033	9.5321	2.8166	0.01069	0.00613	0.0264	1.03978	4.31223	4.05002	1.98851	8.50983	4.11772	0.06157	3.14428	3.36664	14.06598	2.47728	3.90294	0.34297	0.25654	3.83937	5.27382	1.79156	1.47081	81.39797	4.58144	0.15086	11.28582	4.31916	2.77192	97.58132	14.29102	13.31496	21.37896	1.45029	70.70659	7.61397	1.90961	10.73502	0.00545	62.15764	1.60118
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	22.69373	5.29565	0.55725	44.63383	17.44614	19.93925	42.84856	14.29418	31.51905	20.79462	34.88166	9.53989	2.57872	27.84938	85.5234	39.56526	0.41461	27.42319	18.72371	13.11114	31.47583	26.01392	4.39929	32.65912	8.02399	11.42627	1.63088	67.52092	31.90618	34.00551	15.38098	18.37248	0.03662	19.14304	55.72623	8.30018	55.63448	48.41466	0.0015	0.00092	5.89975	17.09276	15.01162	6.85234	30.49567	21.43581	59.55972	42.00848	0.65638	10.07171
