	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale|t__GCF_000209975	0	0	0.03525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07815	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	0	0	0.02525	0	0.07841	0.05115	0.42703	0	0.0784	0	0.03841	0	0.07502	0.01095	0.04999	0	0	0.01877	0	0.06094	0.37778	0.12658	0	0	0.35025	0.01134	0.04333	0.05275	1.02624	0.12515	0	0	0	0.06867	0.09646	0.00044	0.0517	0.00579	0	0	0	0	0.00666	0	0	0.04508	0	0.17162	0.00033	0.2587
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__Veillonella_atypica_unclassified	0	0	0.0211	0	0.00154	0.01772	0.06749	0	0.00512	0	0.00811	0	0.0637	0	0.06097	0	0.00197	0	0	0	0	0.20272	0.08497	0	0.19623	0	0.0878	0.08372	0.38172	0.01133	0	0	0.15656	0.19733	0.00448	0	0.02888	0.0148	0.00791	0.01998	0	0	0	0.02145	0	0.08974	0.00407	0.2949	0.00267	0.01863
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum|t__GCF_000154485	0	0	0.01279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111	0	0.00765	0	0	0	0	0	0.04846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified	0	0	0.01162	0	0	0	0	0	0	0.12949	0	0	0.00159	0.15873	0	0	0.57814	0	0.17405	0	0.00627	0	0	0	2.69628	0	0.00814	0	0	0	0.01391	0.03519	0	0	0	0.23708	0	0	0	0	0.21485	0.98663	0	0	0	0	0	0	0	1.4189
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Streptococcus_phage_EJ_1|t__PRJNA14604	0	0	0.00802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	0	0	0.00732	0	0	0	0.00419	0	0	0	0	0	0	0	0	0.03848	0	0	0	0	0	0	0	0	0	0	0.21436	0	0.00393	0	0	0	0.00252	0	0	0	0	0	0.00489	0.13955	0	0	0	0	0	0	0	0.00037	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified	0	0	0.0073	0.01544	0	0	0	0.00068	0	0	0.00404	0	0.03535	0.01201	0	0	0.6282	0	0.42822	0.04805	0.01606	0	0	0	0.96778	0.00677	0.03557	0.14472	0	0	0.00628	0.00521	0	0	0.00229	0.09828	0.01615	0.09247	0	0	0.14227	0	0	0.0812	0	0.00719	0.10845	0.26262	0	0.04514
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified	0	0	0.00673	0	0	0	0.03376	0	0.00813	0	0.00886	0	0.01952	0	0.00971	0	0	0	0.00208	0	0.00945	0.03359	0.24474	0	0.23931	0.00051	0.00671	0.00683	0.01402	0.0054	0	0	0.02233	0.21314	0.00033	0	0	8e-04	0.03487	1.88046	0	0	0	0.0023	0	0.01617	0.00816	0.15827	0.01647	0.02301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535	0	0	0.00651	0	0	0	0	0	0	0	0	0	0	0.50227	0	0	0.28664	0	0	0	0	0	0.40196	0	5.83493	0	0	0.37375	0	0	0	0.16497	0	0	0	0.24566	0	0	0	0	0.43585	0	0	0	0	0	0	0.16247	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified	0	0	0.00602	0	0	0	0	3.42293	0	0	0	0	0.56696	5.01224	0	0	0.17024	0	0	0	0	0	0	0	3.65293	0.01328	0.10992	0.03928	0	0	0	0	0	0	0	0.61468	0	0	0	0	0.50318	0.87904	0.03625	0.65319	0	0.07867	0.04706	0	0	3.18667
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015	0	0	0.00396	0	0	0	0.03924	0	0	0	0.0019	0	0.00808	0	0.01482	0	0	0	0	0	0.00142	0.04253	0.13667	0	0.02923	0	0.21684	0.00551	0.15406	0.001	0	0	0.02434	0.06696	0	0	0	0	0.00048	0.09995	0	0	0	0.0022	0	0.00468	0.00581	0.08379	0.02668	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris|t__GCF_000187585	0	0	0.00324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04008	0	0	0	0	0	0.13549	0	0	0	0	0	0.00361	0.02829	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	0	0	0.00165	0	0	0	0.02238	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0.11559	0	0	0.02279	0	0.39564	0	0.08849	0	0	0	0.12292	0.03739	0	0	0	0.00085	0.00217	0.01434	0	0	0	0	0	0	0	0.01118	0.00109	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_haemolysans|t__Gemella_haemolysans_unclassified	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19547	0	0	0	0	0	0	0	0	0	0	0	0	0.00359	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum|t__GCF_000158195	0	0	0.00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00888	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_funiformis|t__GCF_000245775	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00905	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum|t__GCF_000371425	0	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33651	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135	0	0	0.00068	0	0	0	0	0	0	0	0	0	0.00099	0.00113	0	0	0.00311	0	0.00483	0	0	0	0	0	0	0	0.00102	0.00245	0	0	0.00222	0.00191	0	0	0	0.0017	0	0	0	0	0.01975	0.00045	0	0	0	0	0.00898	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05749	0	0	0	0	0	0	0	0	0	0	0	0	0.00698	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__Streptococcus_thermophilus_unclassified	0	0	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29252	0	0.00593	0	0	0	0.00096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis|t__GCF_000178255	0	0	0.00021	0	0	0	0	0	0	0.00132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis|t__Streptococcus_infantis_unclassified	0	0	0.00016	0	0	0	0.03307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0	0	0.00189	0	0.02077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02425	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum|t__GCF_000024225	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01092	0	0.00291	0	0	0	0	0	0	0	0	0	0	0	0	0.01199	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae|t__Haemophilus_influenzae_unclassified	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034	0.00486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae|t__Streptococcus_pseudopneumoniae_unclassified	0	0	7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0	0	3e-05	0	0	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347	0	0	0.00478	0	0.00897	0	0	0	0	0	0	0	0	0	0	0	0	0.03179	0	0	0	0.00405	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus|t__GCF_000262285	0	0	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095	0	0.06918	0.00857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis|t__GCF_000165735	0	0	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17222	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens|t__GCF_000160675	0	0	1e-05	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00542	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria	0	0	0	0.03322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0	0	0	0.53972	0.18798	0.50786	0.0788	0.01292	0.00733	0.03515	0	0	0	0	0.00111	0.19476	0	0.69594	0.09654	0.23569	0.01117	0.00166	0	0	0	0.02656	0.01269	0	0.05724	0.10666	0.06506	0.06898	0	0.06318	0	0.33691	0.02029	0.08064	0	0	0.25503	0	0	0	0.13029	0	0	0.06438	0	0.12476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50	0	0	0	0.38438	1.01813	2.75993	0	0	0	0	0	0	0	0	0	0.50589	0	0.36741	3.693	0	0	0	0	0	0	0	0	0	1.96168	0.84283	0.23431	0.26443	0	0	0	0.82269	0	0	0	0	0	0	0	0	2.1907	1.3195	0	0	0	0.38188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	0	0	0	0.3016	0.09051	0.32972	0.38869	0.05484	0.45696	0	0	0.16325	8.5237	0.58197	0.03105	0.7033	1.07507	0.36667	1.1322	0.81416	0.50608	0.0264	0.08939	0.15451	0.00851	0.61458	0.02297	0.01368	0.4489	0.08035	0.17021	0.14902	0	0.24734	0.04648	0.44766	0.39054	0.48591	0	0	0.87705	0	0.09784	0	0.49204	0.12016	0	0.30665	0	0.41093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae	0	0	0	0.05933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14318	0	0.01241	0	0.22483	0.0232	0	0	0.34072	0	0.0045	0	0	0	0.81339	0	0	0	0	1.03184	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_unclassified	0	0	0	0.0303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0	0.01682	0	0	0	0	0	0.00693	0.01513	0	0.00963	2.03873	0.00465	0	5.91959	0	0.83061	0	0.00818	0	1.85135	0	0.00052	0	0.03322	0	0	0	1.57922	1.60667	0	0	0	0.90533	0.09263	0	0	0	0.03903	0	0	0	0.07778	0	0	3.22565	0	0.35122
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	0	0	0	0.01332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031	0	0	0	0	0	0	0	0	0.07656	0	0	0	0	0	0	0	0	0	0	0	0.00505	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila	0	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__GCF_000154425	0	0	0	0.53972	0.18798	0.50786	0.0788	0.01292	0.00733	0.03515	0	0	0	0	0.00111	0.19476	0	0.69594	0.09654	0.23569	0.01117	0.00166	0	0	0	0.02656	0.01269	0	0.05724	0.10666	0.06506	0.06898	0	0.06318	0	0.33691	0.02029	0.08064	0	0	0.25503	0	0	0	0.13029	0	0	0.06438	0	0.12476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50|t__GCF_000154245	0	0	0	0.38438	1.01813	2.75993	0	0	0	0	0	0	0	0	0	0.50589	0	0.36741	3.693	0	0	0	0	0	0	0	0	0	1.96168	0.84283	0.23431	0.26443	0	0	0	0.82269	0	0	0	0	0	0	0	0	2.1907	1.3195	0	0	0	0.38188
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185	0	0	0	0.3016	0.09051	0.32972	0.38869	0.05484	0.45696	0	0	0.16325	8.5237	0.58197	0.03105	0.7033	1.07507	0.36667	1.1322	0.81416	0.50608	0.0264	0.08939	0.15451	0.00851	0.61458	0.02297	0.01368	0.4489	0.08035	0.17021	0.14902	0	0.24734	0.04648	0.44766	0.39054	0.48591	0	0	0.87705	0	0.09784	0	0.49204	0.12016	0	0.30665	0	0.41093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae|t__GCF_000248095	0	0	0	0.05933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14318	0	0.01241	0	0.22483	0.0232	0	0	0.34072	0	0.0045	0	0	0	0.81339	0	0	0	0	1.03184	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575	0	0	0	0.01682	0	0	0	0	0	0.00693	0.01513	0	0.00963	2.03873	0.00465	0	5.91959	0	0.83061	0	0.00818	0	1.85135	0	0.00052	0	0.03322	0	0	0	1.57922	1.60667	0	0	0	0.90533	0.09263	0	0	0	0.03903	0	0	0	0.07778	0	0	3.22565	0	0.35122
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus|t__GCF_000157915	0	0	0	0.01332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031	0	0	0	0	0	0	0	0	0.07656	0	0	0	0	0	0	0	0	0	0	0	0.00505	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila|t__Kocuria_rhizophila_unclassified	0	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0.23121	0.11572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35183	0	0	0	0	0	0	0	0	0	0	0	0.12301	4.32275	0	0	0	0.52287	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0.23121	0.11572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35183	0	0	0	0	0	0	0	0	0	0	0	0.12301	4.32275	0	0	0	0.52287	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0.0311	0.06605	0.00901	0.55639	0.66118	0.06106	0	0.84847	0.20702	1.67959	0.14496	0.10935	0	0.42194	3.99025	10.59063	0.02715	0	0	1.09938	0	1.01305	0.05671	0.00984	0.68116	0.02203	0.03923	0.0541	0	0.0765	2.30038	0.15991	1.10261	2.43504	0	0	1.41495	0	0.20089	0	5.68023	2.74859	0	0.06182	0	0.36479
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	0	0	0	0	0.50984	0.39545	0.54447	0.73583	1.21231	0	0	0	2.79273	0	0	0	0	0.38851	0	0	0	0	0	0	0	0	0	0	0.49528	0	0	0	0	0	0	0.23912	0	0.38284	0	0	0.75065	0	0	0	0	0	0	0	0	0.45037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0	0	0	0	0.23121	0.11572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_D	0	0	0	0	0.08904	0.15046	0	0	0	0	0	0.03739	0	0.00349	0.02297	0	0	0	0	0.00161	0	0	0.11696	0	0	0	0.00065	0	0	0	0	0	0	0	0	0.00585	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	0	0	0	0	0.0311	0.06605	0.00901	0.55639	0.66118	0.06106	0	0.84847	0.20702	1.67959	0.14496	0.10935	0	0.42194	3.99025	10.59063	0.02715	0	0	1.09938	0	1.01305	0.05671	0	0.68116	0.02203	0.03923	0.0541	0	0.0765	2.30038	0.15991	1.10261	2.43504	0	0	1.41495	0	0	0	5.68023	2.74859	0	0.06182	0	0.36479
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0	0.01543	0	0	0	0	0	0.00456	0	0	0	0	0	0	0	0.02385	0	0	0	0.09886	0	0.10166	0	0.02567	0.03045	0	0	2.72132	3.49389	0	0	0	0.9683	0	0	0	0	0.04577	0.02633	0	0	0	0.00485	0	0.02759	0	0.00405
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens	0	0	0	0	0.00524	0.00345	0	0.00071	0	0.01402	0	0	0	0.01752	0	0	0	0.00793	0.00346	0	0.01121	0.00227	0	0.01198	0	0.00191	0	0	0	0.00972	0	0	0	0.03148	0.00139	0	0.02521	0.03354	0	0	0	0	0	0	0	0.00229	0	0	0	0.00226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum	0	0	0	0	0.00132	0	0	0.01791	0.00081	0.00158	0	0	0	0.00422	0	0.03786	0	0	0	0.02156	0	0	0.00377	0.01824	0	0.01181	0	0	0	0.0053	0	0	0	0.03037	0	0.03398	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0.00478
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_4_1_37FAA	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA|t__GCF_000159975	0	0	0	0	0.50984	0.39545	0.54447	0.73583	1.21231	0	0	0	2.79273	0	0	0	0	0.38851	0	0	0	0	0	0	0	0	0	0	0.49528	0	0	0	0	0	0	0.23912	0	0.38284	0	0	0.75065	0	0	0	0	0	0	0	0	0.45037
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae|t__Enterococcus_hirae_unclassified	0	0	0	0	0.23121	0.11572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_D|t__Human_adenovirus_D_unclassified	0	0	0	0	0.08904	0.15046	0	0	0	0	0	0.03739	0	0.00349	0.02297	0	0	0	0	0.00161	0	0	0.11696	0	0	0	0.00065	0	0	0	0	0	0	0	0	0.00585	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__GCF_000156015	0	0	0	0	0.0311	0.06605	0.00901	0.55639	0.66118	0.06106	0	0.84847	0.20702	1.67959	0.14496	0.10935	0	0.42194	3.99025	10.59063	0.02715	0	0	1.09938	0	1.01305	0.05671	0	0.68116	0.02203	0.03923	0.0541	0	0.0765	2.30038	0.15991	1.10261	2.43504	0	0	1.41495	0	0	0	5.68023	2.74859	0	0.06182	0	0.36479
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465	0	0	0	0	0.01543	0	0	0	0	0	0.00456	0	0	0	0	0	0	0	0.02385	0	0	0	0.09886	0	0.10166	0	0.02567	0.03045	0	0	2.72132	3.49389	0	0	0	0.9683	0	0	0	0	0.04577	0.02633	0	0	0	0.00485	0	0.02759	0	0.00405
