	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified	0.00965	0.02043	0.03434	0.00587	0.05535	0.03488	0.05115	0.0057	0	0.00696	0	0.00208	0.65744	0.02797	0.01498	0.0255	0.02587	0.02746	0.05536	0.01873	0.06913	0.01479	0.00424	0.01484	0.00581	0.00112	0.00669	0.01367	0.00408	0.03047	0.01689	0.04384	0.10805	0	0.11066	0	0.02268	0.06288	0.02676	0.04464	0.06267	0.01221	0.04453	0.07014	0.03329	0.02555	0	0	0.00312	0	0.00803	0.01986	0.01426	0.01566	0.0342	0	0.01436	0.01036	0.02339	0.01391	0.04825	0.04281	0.04815	0.04158	0.06571	0.07514	0	0.04365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.00953	0.00811	0	0	0	0.03488	8.30988	23.12798	0.01655	1.08563	43.34917	0.00223	0.2321	1.14465	1.27196	1.64686	0.09724	0	0	0	0	0.66509	0	1.32315	9.1926	0.07255	0.37062	0.01208	9.41267	0.01257	0.05086	0	0.10588	0	0.01301	0	0.02399	0	0.02628	0.10292	0	0	22.4895	0.03728	0.09824	0.04239	0.112	0	0.0158	0.00396	0	0	0	0.00117	0	0	0.48419	0	0	3.10185	0	0	0	0	0	0	0.03213	0.02164
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	0.00901	0.01118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01201	0	0	0	0	0	0	0	0	0	0	0	0	0.01796	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified	0.00863	0	0	0	0.10441	0.17924	0	0	0	0	0	0	0	0	0	0.09289	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04586	0	0	0	0	0.02532	0	0	0.02766	0	0	0	0	0	0	0	0	0	0	0.00522	0.03054	0	0	0	0.04112	0	0	0	0	0	0	0	0.01598	0	0	0.01922	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0.00783	0.11288	0	0	0	0	3.72649	0.00306	0.02277	0	0.00399	0	0.00382	0.00698	0.0041	0	0.07242	0	0.09257	0.06648	0.1866	0	0.15095	0.01968	0	0	0.00143	0	0	0	0.11596	0.02975	0.04311	0	0	0	0.03434	0.17246	0.04265	0.03283	0.01003	0.0098	0.0128	0.00105	0.37618	0.0055	0	0	0.0286	0.01065	0.02051	0.0068	0.04109	0	0.17752	0	0.01108	0.00045	0.0109	0	0.02659	0.02688	0.00436	0.62005	0.16108	0.15393	0	0.01216
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8	0.00697	0.46708	0	0	0	0	0	0.15652	0	0.63544	0	0.32168	5.25648	0.38891	0	0.08959	0.98673	0	0	0	0	0	0	1.71098	0	0	0	0	0.46998	0	0	0	0	0	0.07447	0.03828	0.83059	0	0	0	0	0.44197	2.12202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43311	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.00616	0.24083	0	0	0	0	0	1.22177	0	2.01327	1.53706	1.06185	0	0.11531	0.06508	0.07661	0.02086	0	0	0	0	0.09113	0.40342	0.29716	0.08303	0.81187	4.63417	0.01226	0.16973	0	0	0	0.09551	0	0	0	0.66846	0.02335	0	0	0.06291	0.06606	2.08013	0	1.40044	0	0	0	0	0	0	0	0	0.10066	0.39471	0	0	0	0	0.3691	0	0	0	0	0	0	0.00422	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0.00605	0.484	0	0.39968	0	0.09288	0	0.70551	0	1.64345	0	1.06912	0	0	0.69144	0.11335	0.7955	0	0	0	0	0.37033	0	0.55523	0	4.56416	0	0	6.0592	0	0	0	0.02836	0	0.02315	0.18502	1.1421	0.05736	0.06866	0	0.01066	0.01891	12.26196	0.29674	0.67113	0	0	0	0	0.01237	0	0	0	0	4.80536	1.76549	0.02671	0	0.03125	0.18027	0	0.00474	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.00584	0	0	0	0	0	0	0	0	0	0	0.0123	0	0	0	0	0.01325	0	0	0	0	0	0	0	0.10827	0.00519	0	0	0	0	0	0	0	0	0	0	0.12792	0	0	0	0	0	0.03715	0	0.11874	0	0	0	0	0	0	0	0	0	0.0175	0.00721	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_unclassified	0.00565	0	0	0	0	0	0	0	0	0	0	0.04892	0	0	0	0	0	0	0	0	0.01054	0.03185	0	0.00747	0	0	0	0	0	0.13222	0	0	0	0	0.14244	0	0	0	0	0	0	0	0	0	0	0.00466	0	0	0	0	0.01161	0	0.00126	0.015	0	0	0	0	0	0	0	0	0	0.00679	0	0	0.00209	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.00374	0.02938	0.00468	0.09279	0	0.00337	0	0	0.00329	0.11568	1.32778	0.22925	0	0.0104	0.00434	0.38329	0.01444	0	0	0	0	0.31381	0.09678	0.0845	0	0	0	0.20353	0.12464	0	0	0	0.0776	0	0.00846	0	0.03303	0	0.00375	0	0	0.00956	0.16827	0.23588	0.06212	0.05464	0	0	0.00293	0.01577	0	0	0	0.00088	0.22951	0.00701	0	0	0	0.03676	0	0.03674	0	0	0	0	0.00746	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0.00334	0	0	0.00196	0	0	0	0.11138	0	2.52529	0.63827	0	0	0.12071	0	0	0	0	0	0	0	0.15648	0	0.06427	1.66667	0.06069	0.05192	0.00383	3.33503	0	0	0	0	0	0	0	0.15247	0	0	0	0	0.00325	0	0	0	0	0	0	0	0	0	0	0	0	0.62107	0	0	0	0	0.74384	0	0	0	0	0	0	0.78244	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0.03449	0	0.02377	0	0	0	0	0	0	0	0.00774	0	0	0	0	0.00225	0	0.01118	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0.01049	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0.00222	0	0	0	0	0	0	0.06448	0.07412	0	0	4.17613	0	0	0	0	2.20942	0	0	0	0	1.22737	0.04158	0.07805	0	0	0	0	4.69176	0	0	0	0	0.80497	0	0.30382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.00176	1.6494	0	0.23465	0	0	0	0	0.00865	0.00493	0.03493	0.05644	0	0.29961	0	0	0.00779	0	0.02152	0.05815	0.02029	0.0183	0.09308	0.08955	0	0.1302	0.24219	0	0.2032	0.01707	0.02425	0.00078	0	0.00835	0.01821	0.01211	0	0	0	0.09866	0.25544	0.05255	0	0	0	0.46999	0.00236	0	0.0288	0.07817	0.00294	0.01088	0	0.14075	0	1.26868	0	0.12507	0.20127	0	0	0.01314	0	0	0	0.03043	0	0.04434
