	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0.03449	0	0.02377	0	0	0	0	0	0	0	0.00774	0	0	0	0	0.00225	0	0.01118	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0.01049	0.00414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.00124	0.07415	0	0.00165	0	0	0	0	0.00411	0	0	0	0.32841	0.01281	0	0	0	0.00388	0.01315	0.0527	0.06589	0.02058	0.00468	0	0	0.01697	0.00352	0	0.02673	0.05788	0.01795	0	0	0.00664	0	0	0	0.01339	0	0.01963	0.20314	0.00889	0	0	0	0.09401	0.00074	0.05757	0	0.00212	0	0	0	0.00592	0	0	0	0.02122	0.04449	0.00281	0.00035	0	0.01678	0	0.04763	0.01763	0	0.06865
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.00047	0.00196	0	0	0	0	0	0.00081	0.031	0.0127	0.00542	0.0087	0	0.13389	0.00992	0	0	0.0711	0	0.0249	0.12002	0.04258	0.01018	0	0	0.00345	0.00245	0.00809	0.00423	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0.00539	0	0	0	0	0.00189	0	0	0.01065	0.00179	0	0	0	0.00053	0.01393	0	0	0	0	0	0	0	0	0	0	0.00483
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	42.64379	17.47177	0.01304	0	4.36956	15.1989	0.02712	0.81206	0	0.02155	0	0.00654	0.9696	0	6.32449	1.3034	4.38042	0.45671	2.43483	0.7857	1.12564	1.98347	0.06145	0.27388	4.28475	0.78661	0.38687	0	6.85598	3.36774	0	2.92617	9.21142	0	0	0.01361	1.60844	1.17651	0	3.03902	0.78782	0.51129	1.54379	0	10.57554	2.60015	0	0	0.02929	2.32519	2.34525	0.33659	1.94095	1.92081	2.85705	0	0.35414	0	0	0.00935	0.49274	1.50031	0.44296	3.20361	1.82409	0.62677	0	0.6161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	9.70032	3.85114	30.82681	8.10621	0.1298	3.0847	35.99936	0.10353	0.34088	2.09485	0.31455	0	4.88025	13.28709	2.24597	0.90163	2.30468	1.92105	0.98209	6.31099	15.34533	5.10008	2.2515	7.59818	0.23487	12.55649	5.4817	0.46734	0.00087	20.77105	0.95395	19.22452	19.23959	0	20.77467	5.7334	21.27869	1.40161	2.88802	4.17999	5.20081	12.4064	1.02594	0.25845	2.16795	0.00361	0	0	2.22777	20.36166	29.18494	27.01102	7.07681	5.65615	16.41722	0	29.4519	0.95947	11.35661	1.56551	0.28862	2.77314	8.2917	5.59613	2.94079	6.95974	0	7.16661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	9.60029	7.4542	3.48835	4.17786	18.26327	4.44131	0.06217	2.36272	11.63507	1.68746	3.17027	2.90345	2.35873	2.66948	7.46091	4.21099	15.60578	5.81637	2.46025	9.06224	22.37428	8.38379	4.43523	8.63058	1.24228	0.87225	10.43288	3.04492	18.71555	6.09446	4.64076	7.73175	9.91242	0.00996	7.0848	1.97161	7.78561	10.62567	4.50375	4.34104	8.45772	3.64129	10.21215	1.77997	9.08272	2.6044	0.2892	0	1.96971	6.15145	5.32692	7.91615	4.39465	5.46169	1.65717	0.49516	8.63564	7.50384	6.22377	15.88769	9.95239	11.46767	12.40801	10.07942	12.41685	14.14693	1.93542	14.46497
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	7.72245	0	0	0.54125	0	0.136	0	0	0.21314	0	0.20226	2.47878	0	0.01776	0.24788	0	0	0	0	0	0	2.66666	0.25706	1.10853	5.1264	0.30235	0.71736	0	0.16112	0	0.11952	0	0	0.12149	0.48424	0.44386	0.03875	0	0	0	0	0	1.01623	0	0.50115	0.02289	0	4.48474	0	0	0	0	0	0	0.19583	0.42423	0	0	0	1.61092	0	0	0	0	0	0	0.47239	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	4.87489	35.60627	16.12186	28.04979	3.18738	35.36027	41.87673	2.17527	70.56452	42.91797	0.00216	0	23.45181	18.61889	43.54844	2.04828	23.33343	17.20678	38.61742	45.50032	31.13011	0.2744	69.00534	1.07913	0	32.49773	2.86785	46.99839	0.00918	26.59762	45.5866	11.05025	17.81182	0.01182	43.74672	73.99625	24.78656	29.92694	28.69084	37.92267	45.101	44.60995	8.53481	2.00392	7.22066	68.4812	0.14111	0	35.57069	48.18686	41.55489	41.96862	21.36371	56.00892	0.37852	7.06728	33.44619	46.78575	34.34137	16.22055	39.87718	43.94005	11.7132	26.03674	32.54296	18.91591	25.44103	18.68617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	3.88548	0.61032	0.37424	0	0.04336	0.16455	0.64758	0.04478	0.05226	0.11077	0	0.4426	1.29773	0.182	0.59346	0.29401	0.29747	0.13002	0.4994	0.3207	0.12734	0.08276	0.224	0.22106	0.22982	0.10719	0.75659	0.05666	0.21825	0.19781	4.82637	0.4787	0.61887	0	0.18293	0.00796	0.1761	0.52717	0.14474	0.34986	0.11992	0.04434	0.13889	0.01218	1.01562	0.02416	0	0	0.02471	0.03604	0.98721	0.07584	0.35169	0.24536	0.41458	0	0.44505	0.13069	0.26865	1.05093	0.03851	0.38802	0.97843	0.48036	0.22117	0.73568	0.20264	0.24714
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	2.89967	0.12785	8.54698	0.76738	0.31809	0	3.51752	0.10911	0.05285	0.82488	0	0	3.78315	6.00454	0.59971	4.81303	0.5665	0.08779	2.75352	0	0.00627	0.4281	0	1.48366	0.08566	8.88334	0.29377	0	0.67068	0.11922	2.97354	0.65947	0.79485	15.06199	0.23225	2.00398	0.05713	2.14392	0.29671	0.49971	0.0585	0.22947	0.66266	5.35323	1.22867	0.29364	45.24909	20.12549	10.42329	0.75241	0.05241	0.06838	0	1.23163	0.08003	10.31786	0.20689	0.05841	0.28778	0.72466	0.32156	1.28657	0.6319	0.05336	0.12392	0.07188	5.63276	0.03145
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2.66957	0.22104	0.73147	4.17679	0.09393	0.38748	0.22405	0.96883	0.09572	1.34915	2.21041	9.06783	0.96192	3.18127	0.0265	2.58478	0.1385	0	0.91758	0	0	17.98835	1.13115	4.81098	0	5.12537	13.20437	0.17647	0.00686	0	0	0	0	0	0.29134	0.99146	1.28067	0.06395	0.5372	0	0.00835	0.05336	5.2028	0.48541	0.3316	0.20846	0	0	0	0.08608	0	0.00652	0	0.16949	1.24648	4.63005	0.36	0	0	13.7388	0	0.134	0.04885	0	0	0	0.45962	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	2.56663	3.65596	0	0.67324	3.78621	0	0.07633	4.44407	0	0.07723	0	0	0.61958	1.95342	4.63174	1.03349	1.84286	0.08133	0.0558	0.23037	1.50656	0.13687	0	0.09726	1.09164	0	0.58215	0	2.69561	0	0	0.28541	0	0	0.50068	0	4.73347	0.22676	0.04087	0.01144	0.44269	0.01447	0	0.20946	8.66642	0	0	0	0	0.00163	0.13279	0.27327	0.13637	0	0.19307	0	0	1.19502	0	0	16.16518	0.20699	0.2266	0.02101	3.71713	0.00589	0	0.4613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	2.28187	0	0	0	0	0	0	0.05665	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41642	0	3.79348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	1.91511	0.70922	0.02344	5.2771	0	0.19074	0.00987	0.5256	0.10338	0.20602	0.88053	3.10708	0.25092	1.73872	0	0.26211	0.00227	14.46052	0.25672	0.44002	1.00231	1.0961	0.01447	2.36321	0	4.40204	0	0.10394	1.04198	1.11045	3.90175	0.35101	0.23815	0	0.10752	0.55168	0.01507	0.06273	0.06023	0.64312	0.47071	0.31213	0.21778	0	0.00049	0.77687	0.4171	0	0.16797	0.21131	0.07667	1.48228	0.32693	0.50861	0	0.19398	0.05318	0.83021	2.04787	0	0.0804	0.02046	0	0.00752	0.23209	0.16344	0	0.1205
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	1.15977	2.05396	1.93168	8.63987	3.57364	0.35915	0	1.63972	7.00827	2.87561	0.77384	13.01758	1.27664	5.00216	0.68572	2.50705	7.88399	12.80618	0.50884	2.46048	1.39893	13.11646	1.80524	3.80926	0	0.00379	0.33314	0.94918	0.98808	0.99119	4.12076	0.46375	1.45593	0	1.58295	0.02364	0.8486	1.21241	0.84664	1.003	0.38	0.95375	0.03295	0	0.89291	0.63697	0.00893	0	0.44284	0.10442	0.2762	0.17917	0.5694	0.54882	0.10685	0	0.04247	4.11646	0.19989	1.23674	1.7785	1.12107	1.08882	0.21695	0.22494	2.7181	0.13939	4.62735
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	1.05002	0.11461	0.16598	0	0.19928	2.87631	0.06789	0.10673	0	9.56084	0.88424	0	0.04315	2.00573	0.10009	1.06348	1.16891	0.13223	0.02841	0.05947	0.08897	0.03428	0.06074	1.37011	0.021	0.86863	0.02717	0.01334	0.22641	0.59761	1.43176	1.34456	1.02771	0	0.06093	0	0.03915	0.05294	0.02643	0.02369	1.59285	0.31038	0.85161	0.04822	0.15765	0.40183	0	0	0.04171	0.26225	0.1982	0.00923	0.02223	0	0.22818	0	0.20023	0.13036	0.00077	4.67466	0.06803	0.38296	0.37585	0.25794	0.49139	0	0.5365	0.58134
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.70983	0	0.79575	0	1.84367	0	0.61342	0	0	0	0	0	7.33512	1.17799	0	4.01227	0.91948	0.1932	3.65981	0.09906	0	0	0	0	0	0	0	0	0	0	0.02829	0.78339	0	0	1.5242	0	0	0.15222	0.2215	0.03959	0.15987	0	0	2.39242	0	0	0	0	0	0	1.1064	0.10459	0.09727	0	1.28525	0	0.07775	0.0482	0.03131	0	1.4283	0.09418	0.85102	6.04137	1.6359	4.76449	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.55188	0	0.14894	0.02998	0	0	0	0	0	0	0	0	0	0.07599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07255	1.66427	0	0	0	0	0	0	0	0	0	0.12602	0	0.28262	0	0	0	0	0	0	0	1.0439	0	0	0	0.06752	0	0	0.38728	0	0.49745	0.07799	0	0.4647	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0.46463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10543	0	0	0	0	4.6782	0	10.8429	0	0	1.83509	0	1.67324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0.45465	0	0	0.17709	0	0.01922	0.19652	0	0.01551	0	0.00473	0.0097	0.77807	2.26126	0	0.77087	0	0.29751	0.30479	0	0.03521	0.10186	0	0	0.05433	0.08981	0.06162	0.04348	0	0	0.90185	0	0.52391	2.76205	0.18213	0.446	0	0.05114	0	0	0.04417	0.04691	0.00361	1.24867	0.34341	0	0	0	0	0	0.0583	0	0	0.14628	0	1.99178	0.05218	0.04597	0.56362	0.20968	0.04972	0.02686	0	0.16399	0.12059	0.05937	1.2198	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	0.42074	0.26519	0.08755	0.28652	0.03526	0.34928	0.0041	0.16801	0.00611	0.02574	0.03075	0.05826	0.08875	1.17246	0	0.06084	0.06529	0.08991	0.04865	0.23848	0.07452	1.47037	0.51093	0.18749	0.0013	0.01603	0.04068	0.02746	1.10677	0.26326	0.3179	0.09995	1.35206	0	0.09667	0.05415	0.03839	0.08745	0.08006	2.83221	4.10766	0.2684	0.08903	0	0.02788	0.86438	0	0	4.53657	0.1222	0.07389	0.37769	0.13914	0.12552	0.00117	2.74174	0.09026	0.45253	0.54885	0.01916	0.03223	0	0.03975	0.0696	0.10935	0.40206	0.00546	0.09516
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	0.37333	1.78565	0.15776	0.23038	2.59074	0.06297	0.0495	0.05843	0.2099	0.09399	0.01763	0.206	0.09136	0.12009	0.24452	0.16015	0.45181	0.10802	0.11344	0.27024	0.15627	0.25888	0.14103	0.14548	0.07845	0.01808	0.62123	0.08292	0.20575	0.25597	0.27983	0.21659	0.65051	0	0.30968	0.01843	0.12396	0.19664	0.08697	0.20208	0.35628	0.25158	0.18054	0.111	0.78762	0.06796	0	0	0.03879	0.10587	0.23854	0.07041	0.10306	0.10062	0.23159	0.49399	0.54993	0.25503	0.11448	0.33975	0.11558	0.3566	0.27771	0.46311	0.16784	0.66486	0.1513	0.04764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.34497	0.65839	0	0	0	1.04336	0	1.92608	0	2.04296	0.82966	1.77462	0.17665	0.61629	0.39819	0.72234	0.12695	0	0	0	0.14023	1.36651	0.29952	1.52207	1.07173	0.95651	4.65396	0	0.50834	0	0.03483	0	0.46577	0	3.46538	0.00388	3.53168	0.10232	0.00602	0.01898	0.41762	0.52759	9.58637	0.7954	5.099	0.5459	0	0	0.06018	0.14511	0	0	0	0.01507	0.53502	0	0.17612	0	0.03678	1.15399	0	0.0333	0.02365	0	0	0	0.00673	0.01931
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified	0.32458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00639	0	0	0	0	0	0.85147	0	0	0	0	0.01118	0	0	0	0	0	0	0.75608	0	0	0	0	0	0	0	0	0	0	0.30253	0	0	0	0	0	0	0	0.05087	0.08475	15.30398	0	0	0	0	0	0	0	0	0	0	4.00347	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.30625	0	0	0	0	0	0	0	0	0.0321	0.16129	0.48852	0	0	0	0	0	0	0	0	0	0.03903	0.34875	0.15389	2.26442	0.71472	2.10104	0.00529	0.37976	0.01383	0.16669	0.06306	0.03262	0	0	1.89482	0	0	0	0	0	0	0.55613	0	0.05695	0.23095	0	0	0	0	0	0	0	0	1.19793	3.1195	0.09946	0	0	0.08092	0	0	0	0	0	0	1.69793	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	0.27902	1.68451	4.82151	0.56624	11.8839	0.29057	2.07203	0.91053	0.13289	1.7491	0.06076	2.62602	1.52526	3.42025	1.86942	3.68238	8.71392	4.48531	7.85091	3.67536	1.55194	0.48163	0.61619	2.54598	2.15309	0.46262	0.50181	0.23008	0.10193	2.03527	0.46983	6.68523	0.88097	0	2.20216	0.02469	2.67458	7.86607	0.77819	1.50957	4.0852	0.43243	0.18917	2.08944	2.02673	1.16428	0	0	0.16064	0.24018	0.71597	1.7347	1.29401	0.4497	8.29038	0.03587	1.31936	1.42589	0.83668	3.24065	3.65884	1.10318	1.6827	6.50363	3.44753	5.23618	0.78332	0.71552
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0.26991	0	0	0.31001	0	0	0	0.56135	0	0	2.24507	7.81368	1.92625	4.44162	1.83048	0.9655	1.42146	0	0	0	0	0.14894	0.8298	0.02642	1.31324	0.39898	8.07697	0.02009	0.66434	0	0.02545	0	0.36035	0	0.02202	0.0161	2.68974	0.02863	0.04275	0	0	0.0223	0.00828	36.96029	0.18828	0.59187	0	0	0	0	0	0	0	0.0098	0.91564	15.70898	0.09662	0	0	3.98319	0	0.23423	0	0	0	0	0.55653	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.24127	0.0399	0.40961	0.17031	0.3555	0.08116	0	0	0	0.00849	0.00395	0.42165	0.20458	0.23928	0.10857	0.30933	0.15889	0.1213	0.2524	0.10528	0.07429	0.21364	0.06495	0.60866	0.70127	0.22653	0.59927	0.02322	2.12718	0.02224	0.30532	0.16887	0.01985	0	0.22952	0.10557	0.05835	0.79824	0.17558	0.09653	0.27124	0.05077	0.06421	2.81453	1.09671	0.11488	0	0.7754	0.01165	0.01379	0.75236	0.08173	0.06965	0.22618	1.29217	3.88184	0.28157	0.12431	0.09097	0.71474	0.18176	0.45139	0.52727	1.73226	0.33371	0.54946	4.81609	0.15075
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.1987	1.79267	0.00657	0.10486	0	0.76615	0	5.21056	0.10564	3.46515	3.90612	1.74646	1.85802	0.70682	0.49688	5.89198	0.6799	0	0	0	0	1.53191	0.62155	5.08312	3.39143	1.00285	0.46191	0.25671	0.03304	0	0.05531	0.0257	0.3389	0	0.47812	0.03952	0.28769	0.02626	0.05302	0.06408	0.02499	0.01321	1.23469	1.71655	0.35013	0.12428	0	27.09413	0.05179	0.19362	0	0	0	0.05585	0.28252	0.2776	0.55954	0	0.00355	1.08077	0	0	0.00523	0	0	0	0.76838	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale	0.19432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00407	0	0	0	0	0	0	0	0	0	0	0	0.2791	0	0	0	0	0	0	0	0	0	0	0.01003	0	0	0	0	0	0	0	0.00154	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0.17757	0.02146	0	0.04926	0	0	0	6.69932	0	6.7179	0.01184	1.03105	0	0	0	0	0.02129	0	0	0	0	0.62136	0	1.52183	7.41262	11.95042	6.9804	0	9.50862	0	0.01268	0	0	0	0.01851	0.77541	4.86597	0	0	0.02193	0.03636	0.02299	0.03784	0	0.13175	1.65702	0	0	0	0	0	0	0	0.03167	9.19186	0	0.01903	0	0.02787	0.24103	0	0.02685	0.0204	0	0	0	0.08537	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.15843	0	0	0	0	0	0.17259	0	0	0	0	0	0.20083	0.19556	0.7545	0.98011	0.24723	0	0.97942	0	0	0	0	0	0	0	0	0	0	0	0.03871	0.05124	0	0	1.04277	0	0	0.01945	0.03326	0.10397	0.11946	0	0	0.58457	0	0	0	0	0.00283	0	0.10968	0.03266	0.07507	0	0.67008	0	0.0177	0.01697	0.09108	0	0.97693	0.06721	0.44946	2.75124	0.6536	0.47811	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.14324	0.15683	0.25295	0.08242	0.99739	0.02363	0.73647	0.06641	0.01317	0.06334	0.04922	0.17381	0.09994	0.24073	0.20149	0.44043	0.78656	0.02598	0.25882	0.29744	0.16849	0.02291	0.04162	0.43153	0.18689	0.10254	0.56508	0.1804	0.20076	0.13388	1.31469	0.1345	0.22989	0	0.24598	0.01386	0.2689	0.25792	0.13092	0.10406	0.22676	0.05985	0.1252	0.10777	0.29238	0.03052	0	0	0.0817	0.06005	0.70322	0.08427	0.37759	0.65491	0.27826	1.58134	0.22971	0.11819	0.4311	0.60367	0.18337	0.19043	0.39876	1.22431	0.2134	0.97194	1.35472	0.06964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.13304	0.50988	0.06278	0	0	0.05041	0	30.91913	0.06241	5.08633	3.61479	1.26294	0.12654	0.33977	4.50652	0.6799	0.26745	0.03062	0.10198	0.00355	0.01097	16.7742	0.489	1.53013	7.50313	1.25775	0	0.12592	16.11825	0	0.03091	0	0.14254	0	0.40526	0.03819	0.42862	0.05105	0.00261	6e-04	0	0.08031	1.94616	0.79535	1.96832	0.94903	0	12.35353	0.00442	0.12825	0	0	0	0.01784	4.47552	0.31794	0.20334	0	0	0.36132	0	0.01508	0	0	0	0	1.35299	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.12551	0.68861	0.36033	0.03992	0.34171	0.23561	0.37821	0	0.03193	0.14627	0	0.09517	0.17419	1.02944	0.41555	0.25412	0.35164	0.33063	0.30606	1.29726	0.27964	0.0292	0.11242	0.41392	0.77886	0.37868	0.43293	0.13707	0.41474	0.26405	0.1494	0.90887	0.37597	0	0.21551	0.04005	0.53626	0.43156	0.14506	0.52647	0.45769	0.03152	0.05369	0.08264	0.07008	0.01659	1.14052	0.02116	0.1549	0.27096	1.22512	0.08423	0.16524	0.06233	1.0723	0.07082	0.30088	0.21936	0.08946	1.00317	0.08276	0.4708	0.15538	0.66613	0.31278	0.8581	0.01639	0.13507
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.11478	0.07621	0.00374	0.71266	0	0.06502	0.02166	0.02697	0	0.00355	0.00795	0.0055	0.0128	0.08873	0	0.01574	0.02172	0.05811	0.00246	0.13073	0.17629	0.02559	0.05762	0.0465	0	0.00908	0.02496	0.00277	0.26862	0.09827	0.0705	0.0359	0.36867	0	0.00236	0.03604	0.00252	0.1736	0.0216	0.30781	0.04011	0.0662	0.03742	0	0.00538	0.0256	0.1521	0	0.07239	0.03559	0.05442	0.09018	0.21257	0.07641	0	0.06206	0.00356	0.1846	0.24122	0.00581	0	0	0.00102	0.02182	0.09578	0.0987	0.00148	0.03326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.09478	0.21526	0	0.57982	0.0169	0.10524	0	0	0.22086	0.00736	0.04163	0.08963	0	0.53771	0.09196	0.04179	0.06823	0.03758	0	0.23191	0.0805	0.37522	0.36307	0.39535	0.02578	0.28735	0.13255	0	0.64241	0.09753	1.2713	0.07166	0.25566	0.00939	0.04758	0.79193	0.01683	0.00233	0.06671	2.24343	2.61919	0.12449	0.01876	0.00603	0.02252	0.40859	0.29148	0.11179	2.62062	0.34086	0.03209	0.73866	0.05923	0.50688	0.00084	2.97074	0.04094	0.64677	0.48819	0.08245	0	0.42878	0.03735	0	0.00921	0.05876	0.01051	0.09779
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0.08927	0.35377	0.21987	0.47458	1.27339	0.37432	0	0.39807	3.97295	0.22676	1.6334	2.9316	2.26776	0	0.64708	3.55358	0.13627	0.23614	0.47811	0.20644	0.05387	0	0	0.04678	0	0	1.41275	0.87217	0	0.0785	0.05974	0.02393	0.49978	0	0	0.12199	0	0.34001	0.59366	0.13493	0.21855	0	0	10.15523	0	0.88298	0	3.64743	0.25377	0.10843	0.01971	0.01922	0.09703	0.40222	1.1974	2.28162	0	0.03029	0.10529	0.47802	0.15396	0.28579	0.11882	0.58332	0.40253	0.46978	0	0.07621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0.08849	0.04957	0	0	0	0.00939	0	0	0	3e-04	0	0.07807	0	0	0	0	0.07264	0	0.09319	0.17551	0	0.00086	1.39673	0.77157	0	0.0059	0.00065	0.00299	0.07568	0.22694	0.05209	1.45681	0.01197	0	0.00567	0	0.1575	0.03258	0.22158	0.00606	0.06873	0	0.92003	0	0	0.01944	0	0	0.01655	0.01329	0.04357	0.01032	0	0	0.08334	0	0.01707	0.04708	0	0.03811	0.8818	0.00594	0.05624	0	0.00307	0.34268	0	0.00172
